Business_Unit,PRODUCTCATEGORY,PRODUCTDESCRIPTION,Amount,Month
Food Services,Wipes,Orox WIPES FRESH SCENT,1607.33,7
Healthcare,Franganzia Cleaner,PINE-SOL LIQ LEMON SCENT,1066.52,7
JanSan,Cleaning & Disinfecting,Orox WIPES LEMON,646.49,7
Food Services,Wipes,Orox WIPES FRESH SCENT,1607.33,8
Healthcare,Franganzia Cleaner,PINE-SOL LIQ LEMON SCENT,1066.52,8
JanSan,Cleaning & Disinfecting,Orox WIPES LEMON,646.49,8
Food Services,Wipes,Orox WIPES FRESH SCENT,1607.33,9
Healthcare,Franganzia Cleaner,PINE-SOL LIQ LEMON SCENT,1066.52,9
JanSan,Cleaning & Disinfecting,Orox WIPES LEMON,646.49,9
Food Services,Wipes,Orox WIPES FRESH SCENT,1607.33,10
Healthcare,Franganzia Cleaner,PINE-SOL LIQ LEMON SCENT,1066.52,10
JanSan,Cleaning & Disinfecting,Orox WIPES LEMON,646.49,10
Food Services,Wipes,Orox WIPES FRESH SCENT,1607.33,11
Healthcare,Franganzia Cleaner,PINE-SOL LIQ LEMON SCENT,1066.52,11
JanSan,Cleaning & Disinfecting,Orox WIPES LEMON,646.49,11
Food Services,Wipes,Orox WIPES FRESH SCENT,1607.33,12
Healthcare,Franganzia Cleaner,PINE-SOL LIQ LEMON SCENT,1066.52,12
JanSan,Cleaning & Disinfecting,Orox WIPES LEMON,646.49,12
