Cust_Id,Prod_Code,BU,Purchase_Date,Invoice_no,Sold_Units,Unit_Price,Total_Sale
1,35419,Healthcare,11/13/2017,66668,80,18,1440
1,1593,Food Services,11/21/2017,67435,4,3.49,13.96
1,35419,Healthcare,11/21/2017,67435,10,18,180
10,35309,Healthcare,11/3/2017,66146,7,15.79,110.53
10,68967,Healthcare,11/3/2017,66146,8,7.4,59.2
10,31428,Food Services,11/3/2017,66146,34,30.6,1040.4
10,1594,JanSan,11/3/2017,66147,30,6.39,191.7
10,35296,Healthcare,11/3/2017,66147,13,7.4,96.2
10,35300,Food Services,11/3/2017,66146,9,4.2,37.8
10,35417,Healthcare,11/3/2017,66147,23,13.3,305.9
10,456,Food Services,11/3/2017,66146,9,6.6,59.4
10,30830,Healthcare,11/5/2017,66213,32,11.2,358.4
10,35309,Healthcare,11/5/2017,66213,34,15.79,536.86
10,35300,Food Services,11/5/2017,66213,100,4.2,420
10,35417,Healthcare,11/5/2017,66213,1,13.3,13.3
10,456,Food Services,11/5/2017,66213,56,6.6,369.6
10,30388,Food Services,11/5/2017,66214,2,8,16
10,459,Food Services,11/6/2017,66285,45,5.9,265.5
10,15949,Food Services,11/11/2017,66381,33,5.6,184.8
10,30966,Food Services,11/11/2017,66381,30,10,300
10,31428,Food Services,11/11/2017,66382,300,30.6,9180
10,35306,Healthcare,11/11/2017,66381,6,3.2,19.2
10,35418,Healthcare,11/11/2017,66381,15,7.7,115.5
10,35419,Healthcare,11/11/2017,66381,33,18,594
10,35600,JanSan,11/11/2017,66381,5,10.3,51.5
10,31428,Food Services,11/10/2017,66470,200,30.6,6120
10,31428,Food Services,11/10/2017,66471,3,30.6,91.8
10,1594,JanSan,11/10/2017,66470,2,6.39,12.78
10,35296,Healthcare,11/10/2017,66471,24,7.4,177.6
10,35300,Food Services,11/10/2017,66470,2,4.2,8.4
10,35417,Healthcare,11/10/2017,66471,1,13.3,13.3
10,16930,Food Services,11/10/2017,66470,22,3.48,76.56
10,30419,Food Services,11/12/2017,66605,1,7.3,7.3
10,35300,Food Services,11/12/2017,66605,120,4.2,504
10,456,Food Services,11/13/2017,66674,4,6.6,26.4
10,15949,Food Services,11/14/2017,66734,56,5.6,313.6
10,30966,Food Services,11/14/2017,66734,32,10,320
10,35306,Healthcare,11/14/2017,66734,42,3.2,134.4
10,35418,Healthcare,11/14/2017,66734,24,7.7,184.8
10,35419,Healthcare,11/14/2017,66734,21,18,378
10,35600,JanSan,11/14/2017,66734,53,10.3,545.9
10,31428,Food Services,11/11/2017,66857,27,30.6,826.2
10,16930,Food Services,11/11/2017,66857,22,3.48,76.56
10,35296,Healthcare,11/11/2017,66903,11,7.4,81.4
10,35300,Food Services,11/19/2017,66993,19,4.2,79.8
10,456,Food Services,11/19/2017,66993,18,6.6,118.8
10,30388,Food Services,11/19/2017,66993,20,8,160
10,35417,Healthcare,11/20/2017,67063,19,13.3,252.7
10,456,Food Services,11/20/2017,67062,13,6.6,85.8
10,15949,Food Services,11/21/2017,67155,10,5.6,56
10,31036,Healthcare,11/21/2017,67155,50,8.5,425
10,30966,Food Services,11/21/2017,67155,20,10,200
10,35306,Healthcare,11/21/2017,67155,9,3.2,28.8
10,35418,Healthcare,11/21/2017,67155,80,7.7,616
10,35419,Healthcare,11/21/2017,67155,15,18,270
10,636,Food Services,11/24/2017,67236,33,13,429
10,30830,Healthcare,11/24/2017,67236,20,11.2,224
10,30830,Healthcare,11/24/2017,67239,45,11.2,504
10,31428,Food Services,11/24/2017,67239,67,30.6,2050.2
10,35300,Food Services,11/24/2017,67236,89,4.2,373.8
10,459,Food Services,11/24/2017,67236,2,5.9,11.8
10,30358,Healthcare,11/24/2017,67236,24,5.7,136.8
10,35296,Healthcare,11/25/2017,67301,3,7.4,22.2
10,35300,Food Services,11/26/2017,67372,3,4.2,12.6
10,456,Food Services,11/26/2017,67372,13,6.6,85.8
10,460,Healthcare,11/26/2017,67372,2,13.99,27.98
10,31478,Healthcare,11/21/2017,67441,1,9,9
10,456,Food Services,11/21/2017,67442,313,6.6,2065.8
10,15949,Food Services,11/21/2017,67530,25,5.6,140
10,31036,Healthcare,11/21/2017,67530,5,8.5,42.5
10,30966,Food Services,11/21/2017,67530,30,10,300
10,35306,Healthcare,11/21/2017,67530,13,3.2,41.6
10,35418,Healthcare,11/21/2017,67530,9,7.7,69.3
10,35419,Healthcare,11/21/2017,67530,10,18,180
10,35600,JanSan,11/21/2017,67530,90,10.3,927
33,35293,Food Services,11/14/2017,66735,3,5,15
33,30966,Food Services,11/21/2017,67157,445,10,4450
33,35293,Food Services,11/21/2017,67157,12,5,60
33,35293,Food Services,11/21/2017,67532,1,5,5
97,1593,Food Services,11/11/2017,66526,6,3.49,20.94
97,1593,Food Services,11/11/2017,66914,67,3.49,233.83
97,1593,Food Services,11/30/2017,67619,3,3.49,10.47
153,38504,Food Services,11/11/2017,66386,86,6.45,554.7
153,15949,Food Services,11/11/2017,66860,4,5.6,22.4
153,15949,Food Services,11/21/2017,67160,5,5.6,28
153,38504,Food Services,11/24/2017,67247,3,6.45,19.35
153,68970,Food Services,11/21/2017,67539,2,5.75,11.5
153,38504,Food Services,11/21/2017,67539,22,6.45,141.9
159,31597,Food Services,11/5/2017,66223,5,20,100
172,35418,Healthcare,11/5/2017,66226,35,7.7,269.5
172,35418,Healthcare,11/11/2017,66532,42,7.7,323.4
172,35419,Healthcare,11/11/2017,66532,56,18,1008
172,35418,Healthcare,11/12/2017,66612,1,7.7,7.7
172,35419,Healthcare,11/12/2017,66612,3,18,54
172,35418,Healthcare,11/21/2017,67164,1,7.7,7.7
172,35418,Healthcare,11/21/2017,67547,1,7.7,7.7
172,35419,Healthcare,11/21/2017,67547,2,18,36
197,31009,Healthcare,11/6/2017,66293,10,8.3,83
197,459,Food Services,11/6/2017,66293,2,5.9,11.8
197,452,JanSan,11/13/2017,66680,3,8.03,24.09
197,459,Food Services,11/13/2017,66680,3,5.9,17.7
197,456,Food Services,11/13/2017,66680,3,6.6,19.8
197,31009,Healthcare,11/20/2017,67070,5,8.3,41.5
197,1594,JanSan,11/20/2017,67070,14,6.39,89.46
197,459,Food Services,11/20/2017,67070,6,5.9,35.4
197,452,JanSan,11/21/2017,67449,34,8.03,273.02
220,30966,Food Services,11/11/2017,66390,20,10,200
220,30966,Food Services,11/14/2017,66752,9,10,90
220,30966,Food Services,11/21/2017,67167,34,10,340
220,30966,Food Services,11/21/2017,67552,44,10,440
283,35418,Healthcare,11/11/2017,66393,2,7.7,15.4
283,35418,Food Services,11/21/2017,67169,5,7.7,38.5
296,35600,JanSan,11/6/2017,66302,5,10.3,51.5
296,1698,JanSan,11/13/2017,66688,2,3.5,7
296,35600,JanSan,11/13/2017,66688,2,10.3,20.6
296,1698,JanSan,11/20/2017,67079,2,3.5,7
296,35306,Healthcare,11/20/2017,67079,2,3.2,6.4
296,35600,JanSan,11/20/2017,67079,32,10.3,329.6
296,1698,JanSan,11/21/2017,67458,1,3.5,3.5
296,35600,JanSan,11/21/2017,67458,9,10.3,92.7
328,31597,Food Services,11/3/2017,66161,5,20,100
328,35418,Food Services,11/20/2017,67082,3,7.7,23.1
328,31597,Food Services,11/25/2017,67311,5,20,100
328,35418,Food Services,11/25/2017,67311,3,7.7,23.1
364,35417,Healthcare,11/3/2017,66163,24,13.3,319.2
364,456,Food Services,11/11/2017,66394,8,6.6,52.8
364,30243,Healthcare,11/12/2017,66613,4,5.73,22.92
364,1593,Food Services,11/19/2017,67008,3,3.49,10.47
364,1593,Food Services,11/26/2017,67387,34,3.49,118.66
380,1698,JanSan,11/5/2017,66229,4,3.5,14
380,460,Healthcare,11/5/2017,66229,5,13.99,69.95
380,31597,Food Services,11/26/2017,67389,5,20,100
380,456,Food Services,11/26/2017,67389,5,6.6,33
385,35417,Healthcare,11/20/2017,67083,3,13.3,39.9
390,35418,Food Services,11/6/2017,66305,6,7.7,46.2
390,35417,Healthcare,11/6/2017,66305,6,13.3,79.8
390,35417,Healthcare,11/20/2017,67084,6,13.3,79.8
403,35417,Healthcare,11/3/2017,66165,6,13.3,79.8
403,30966,Food Services,11/6/2017,66309,4,10,40
403,35419,Healthcare,11/11/2017,66540,5,18,90
403,15948,Food Services,11/14/2017,66769,10,7.25,72.5
403,35419,Healthcare,11/14/2017,66769,33,18,594
403,35417,Healthcare,11/14/2017,66769,2,13.3,26.6
403,35419,Healthcare,11/26/2017,67391,3,18,54
441,35306,Healthcare,11/12/2017,66616,9,3.2,28.8
441,35306,Food Services,11/26/2017,67392,9,3.2,28.8
448,15949,Healthcare,11/11/2017,66397,5,5.6,28
448,31036,Healthcare,11/11/2017,66397,5,8.5,42.5
448,30966,Food Services,11/11/2017,66397,3,10,30
448,35309,Healthcare,11/11/2017,66397,56,15.79,884.24
448,15949,Healthcare,11/14/2017,66770,2,5.6,11.2
448,1593,Food Services,11/14/2017,66770,45,3.49,157.05
448,35309,Healthcare,11/14/2017,66770,6,15.79,94.74
448,31478,Healthcare,11/14/2017,66770,42,9,378
448,35417,Healthcare,11/14/2017,66770,3,13.3,39.9
448,15949,Healthcare,11/21/2017,67174,34,5.6,190.4
448,1593,Food Services,11/21/2017,67174,35,3.49,122.15
448,30966,Food Services,11/21/2017,67173,10,10,100
448,30966,Food Services,11/21/2017,67174,35,10,350
448,35417,Healthcare,11/21/2017,67173,34,13.3,452.2
448,35417,Healthcare,11/21/2017,67174,34,13.3,452.2
448,15949,Healthcare,11/21/2017,67558,10,5.6,56
448,31036,Healthcare,11/21/2017,67558,4,8.5,34
448,1593,Food Services,11/21/2017,67558,10,3.49,34.9
448,35417,Healthcare,11/21/2017,67558,34,13.3,452.2
448,456,Food Services,11/21/2017,67558,2,6.6,13.2
643,15948,Food Services,11/13/2017,66689,2,7.25,14.5
643,15948,Food Services,11/13/2017,66690,5,7.25,36.25
643,35419,Healthcare,11/13/2017,66690,2,18,36
668,15949,Food Services,11/6/2017,66312,2,5.6,11.2
668,35419,Healthcare,11/6/2017,66312,4,18,72
668,15949,Food Services,11/14/2017,66774,4,5.6,22.4
668,35419,Healthcare,11/14/2017,66774,4,18,72
668,35417,Healthcare,11/21/2017,67465,24,13.3,319.2
899,30966,Food Services,11/14/2017,66777,32,10,320
899,30966,Food Services,11/21/2017,67177,5,10,50
899,30966,Food Services,11/21/2017,67560,4,10,40
900,31043,Food Services,11/14/2017,66779,24,18,432
900,1593,Food Services,11/21/2017,67179,2,3.49,6.98
1371,31,Healthcare,11/6/2017,66319,24,5.49,131.76
